title,rating,text,url
"Inception is Christopher Nolan's masterpiece, a work of sheer brilliance that astounds on intelligence, spectacle and heart",10/10,"""The mind is like an iceberg, it floats with one-seventh of its bulk above water."" -Sigmund FreudChristopher Nolan's ""Inception"" plays very much like its subject matter described so aptly above by Freud. On your first viewing, you will quite possibly only grasp just a fraction of its complexity, but the brilliance of what this reviewer proclaims as Nolan's masterpiece lies in how engaging it is- even though you cannot quite fully comprehend what Nolan is trying to say. Indeed, it may take multiple viewings for one to absorb completely his audacious new creation that dares to tackle as dense and intricate a subject as that of dreams.It isn't easy to understand the nature of dreams, particularly because they seem to defy logic. The same can probably be said of some of the elements in ""Inception"", but in order for one to understand what dreams really are, one has to first accept that they are not part of the conscious mind, and therefore cannot be understood by rationality. Freud proposed that the rational mind is just that one-seventh of the iceberg that we see, and the rest of the mind is made up of the preconscious and the unconscious. Freud also believed that dreams were the road to the unconscious and existed in the preconscious, a state between the conscious and the unconscious mind.It is in this context that Nolan invites his audience to approach ""Inception"". Here, Nolan imagines a world of corporate espionage where a thief enters a person's mind during his dreams to steal ideas. This process he terms ""extraction"", done by a team of people who design the architecture of the dreams, plant several people including the subject into the dream, forge identities within the dream and then proceed to steal the idea from the subject. Leonardo DiCaprio is the master thief of them all, Dom Cobb, and Joseph Gordon-Levitt his long-time right-hand man Arthur.But this latest mission is different- a tycoon Saito (Ken Watanabe) wants him to plant an idea (so termed inception) within a rival's (Cillian Murphy) mind in order that he will break up his ailing father's business empire after he takes over. Cobb agrees to this dangerous mission- a fugitive wanted for the murder of his wife, Saito promises that if Cobb succeeds, he will wipe Cobb's slate clean so he is allowed to return to the United States to see his children. So Cobb begins assembling his team- the architect Ariadne (Ellen Page), the forger Earnes (Tom Hardy) and the chemist Yusuf (Dileep Rao)- think of it like a heist, only much more complicated.As Cobb explains the rules of the game to his team while preparing for their mission, Nolan is too establishing the rules of his game to his audience- what it means to die in a dream, why one can feel pain even when you're in a dream, the significance of the people you see in your dream, the difference between dream time and real time. Not to spoil the experience to you- but suffice to say that there are many many such rules that Nolan plays by in his movie. Those who have had some experience in the study of dreams will likely grasp this more quickly, but those who have not may take more time to accept the logic and regulations behind Nolan's world- hence the multiple viewings.Regardless, there is no doubt that it is engrossingly intriguing. All this takes place in the first half of the movie, which sets the stage for the inception itself in the latter half, an ingenious conceit set within a world of layered dreams that defies any description. Nolan uses the interconnectedness of these elaborate dream layers to intercut several breathtaking action spectacles - the storming of a vault within the Arctic within a zero-gravity fight along a hotel corridor within a high-speed vehicular freeway chase. Each of these would be thrilling in their own right, but with Nolan's vision, Wally Pfister's expansive photography and Lee Smith's fine editing, the simultaneous unfolding of these set-pieces is utterly riveting.Besides grand action, Nolan also delivers heart-wringing moments courtesy of Cobb's troubled past with his late wife, Mal (Marion Cotillard), who threatens to wreak havoc on his missions by surfacing from his unconscious in the most inopportune manner. We're kept in the dark most of the time, believing that Mal is an insidious presence Cobb is unable to eradicate, but Nolan's reveal towards the end of the film that puts into perspective Cobb's unresolved guilt delivers an emotional finish that will leave you floored.As with his previous movies, Nolan displays a knack for choosing actors who can best embody the characters in his films. While DiCaprio's role here may be reminiscent of that in his earlier Shutter Island, there's no question that he anchors the movie with a perfectly calibrated performance that is equal parts intense and heartfelt. The rest of the supporting characters fill out their roles just as vividly- Joseph Gordon-Levitt radiates confidence and suavity, Ellen Page displays suitable wit and grit, and in particular Marion Cotillard exudes both sultriness and danger in an edgy yet eventually heartbreaking performance.But ""Inception"" is Nolan's vision through and through- and in fact, a visionary director and a master filmmaker at that. Many years Nolan spent refining his screenplay, and it shows in the great detail and complexity that makes ""Inception"" both an intellectual and visceral enjoyment- just take the names of the various characters, each of which have a special significance. With ""Inception"", Nolan invites you to open your mind to possibilities- possibilities of alternate realities, of complexities beyond the conscious mind to grasp and most importantly, of the power of imagination. It is that rare gem of a film that is so multi-layered, so profound and so fascinating that you'll want to experience it again immediately after you've seen it- just so you can fully appreciate its genius.",https://www.imdb.com/review/rw2278714/?ref_=tturv_perm_38
A Masterpiece at It's Best,10/10,"A Movie that contains everything needed to be a Masterpiece. With Great acting from every actor in it, this movie is a have to see thriller.This PG-13 movie will make your mind question it's self.Everyone must see this movie!!! and how Brilliant it really truly is...the Action keeps the heart pumping, while the little settle ideas, keeps you thinking...From beginning to end.. no one will see the end coming..the music complemented the acting, the area of complexion that this movie carries..everything a movie should have.. is in this one ""Inception""",https://www.imdb.com/review/rw2278621/?ref_=tturv_perm_43
This decade's Matrix - Sheer Awesomeness,9/10,"A few years back when I saw The Dark Knight, I thought now thats what made me fall in love with Hollywood. However, Inception made me remember what sheer brilliance this movie industry can create and puts it worlds apart from our Bollywood.SHOCK and AWE !!!! That sums up my experience. As many have already said this is Nolan's masterpiece. The CGI just took it to the next level. I don't favour the recent 3D trend and I thank the producers for not doing something like that to this movie, but considering the story and cinematography I wouldn't have minded, if they had.The acting is not the strongest part of this movie, most of the characters have very little to showcase in this movie. Yet, Joseph Gordon Lewitt,Ken Watanabe, Marion Cotillard did justice to their roles. Leonardo DiCaprio's character was the only thing that had some weight and he performed Brilliantly. (I wish he gets an Oscar nod at least). Brilliance is the only word that can define his performances these days.Nolan has become the go to guy for many new projects for Warner Bros. these days and this is just proof of why it is so. The way this movie has been presented, I cannot give it another name rather than A MASTERPIECE. It shakes you, makes you think and amazes you with the effects, the performances and the story. Nolan deserves every credit that he gets for making such a beautiful and mind boggling movie.The reason I compare it to Matrix is because it makes you think and imagine beyond your normal horizon. It actually requires you to sit and take in everything that is given so that you can enjoy it to the fullest.The reason why I love it even more is because these days with movies like Twilight and all in which you don't have to use your head, this one actually titillates your mind and senses. Now usually when I see such a movie I'd suggest everyone of my friends to check it out. But I caution you to only go watch this movie if you plan to take your Brain with you. It ain't that, keep your head out of the theatre, movie. So if you end up disliking it, Its purely due to lack of concentration.It's simple you would either call it ridiculously Awesome or just plain ridiculous, it all depends on you.The Special effects are outrageous, Leonardo Dicaprio is as usual Unbelievable, the Action sequence is Thrilling, Nolan has gone Over the Top. Yet, what everyone should look-out for is, the story.Note: I haven't seen Paprika and many have complained about it not being credited. I cant say if that is right or wrong, however I personally believe that no anime has yet found a better big screen extravaganza. All I can ask, is for Nolan to watch Death Note. We'd all love that. wouldn't we?The Best Part: The Climax of the movie was the best, I have seen in ages. The audience is devastated, amazed, given hope, rejoiced, then practically left jaw dropped and hung; asking just one question: WAS THAT A DREAM?",https://www.imdb.com/review/rw2279388/?ref_=tturv_perm_80
Really good movie just a but overwhelming,6/10,Watched it for the the first time. In order to enjoy this movie you need to be prepared. You need to be focused and pay attention or else you will get lost. You also have to be patient. You needs these things to really understand this movie because this film can get overwhelming. There is a lot of going on and can be overwhelming. Normally when I sit down and watch a movie I like to relax on my couch and will probably check me phone in the beginning until it reall catches my attention. With this movie you can't do that. You need to fully pay attention and it lowkey felt like I was forced to watch it because of how much focus you need to watch this film. I feel like a great movie shouldn't be that hard to watch. This is why I take some points off the rating. Other than that the movie is good and I understand why people give it a 10/10.,https://www.imdb.com/review/rw9037877/?ref_=tturv_perm_125
Give him the kick,8/10,"Great ideas grow like a cancer. Sometimes you never really know where they come from.Chris Nolan has never really had a totally original idea. Like Tarantino, he knows other movies so well, their ideas creep into his work, either intentionally or not. While my words on originality may come as inflammatory, my feeling toward his talent, and films is quite the opposite. He's good - real good. But he isn't original. Nobody is. This is the 21st century folks and its all been done. It is the way he's showing us these familiar things, that keeps us coming back.Except for Di Caprio, who never really convinces as a brooding widower/father, the rest of the band is perfect. Not that any of them are actually interesting, the plot is the real character in Inception. Hans Zimmers score is majestic and hugely epic and Wally Pfister's familiar clean visuals make it easy on the eyes.Much like a new roller-coaster at 6 Flags, Inception is a ride we've been on on before. Dreams, reality and all that jazz, but this one has a deeper dose of rabbit hole. We have a heist film set in the frame of corporate psychological espionage - whatever the hell that is.We get Matrix style pseudo reality and weightless gun fights. We get The Game and Total Recall style onion layers. We get the old man in the bedroom of cubist proportions from the Kubrick 2001 finale. Maybe one too many James Bond ski battles. And I'm just getting warmed up. The wife story rings hollow - in fact, it's downright boring. Exposition goes in circles and we never do get enough Watanabe Ken. But it's that layered time of the tiered dreams that makes this one go boom. The elevator that can't drop and that van that just falls forever with the cameras over cranking at 150 frames per second or more. But we don't want it to hit the water. Go deeper Cobb, cause I don't want to get off this one yet.The final joke with the unending spinner? This is Nolan's dream, not Cobb's.It's not visionary, it's not original, but just like the meandering Dark Knight or the wretched nonsense of the Prestige, or the titanic plot holes of Memento, Inception is a rabbit hole that owns you til it's over. This ain't art or philosophy to ride to the top. It's just one great kick all the way down.8/10",https://www.imdb.com/review/rw2281002/?ref_=tturv_perm_97
The Dream,10/10,"My second favorite movie of all time.""You mustn't be afraid to dream a little bigger, darling"".I think it's impossible to dream bigger than this.An idea is like a parasite and Nolan's idea is one, simply brilliant.The plot is fantastic, complex but not too difficult to follow.Incredible character interpretation, I don't mention anyone because I would risk disrespecting someone.It's not just an action or science fiction film, there is also a strong sentimentality, it's not too difficult to get emotional. Time by Hans Zimmer really gives you chills.Yet another Oscar-winning film from Nolan.Inception>>>the King's Speech.Oh I forgot... the ending is also unique, perhaps the most iconic ending of all time.""Our dreams feel real while we're in them, it's only when we wake we realize things were strange"".I watched this film 3 times and I still love every little detail of this masterpiece, and if I'm still sleeping, please don't wake me up.",https://www.imdb.com/review/rw10328086/?ref_=tturv_perm_112
"The pieces are amazing, but the whole is ""only"" very good",8/10,"The pieces of the movie are amazing:
1. Hans Zimmer's music is hauntingly beautiful, probably my favorite movie score ever.2. The premise is unique and fascinating
3. The special effects are amazing and don't distract (unlike some Pierce Brosnan Bond movies). They fit into the plot perfectly.4. The acting is very good.But the assemled pieces make the whole only very good, not amazing: The movie is just too big, and they had to edit it to cut it down to essential info and scenes, resulting in a slightly unnatural flow that feels like trying to drink from a fire hose shoved in your mouth. A mild, subtle infodump feeling arises at times. There are no natural lulls or pauses to digest info. The first time watching you will feel absolutely lost for the first 45 minutes or so unless you read spoilers first, due to a combination of that flow and some out of sequence story telling. The 2nd time watching will be much more enjoyable than the first... it is that lesser enjoyment the first time through that keeps it from being amazing, knocking it down to just very good. There are two main storylines, one mostly in the present, the other about the main character's past...found myself wondering if the latter could have been less prominent or even cut to focus more on the former.",https://www.imdb.com/review/rw7546842/?ref_=tturv_perm_60
Inception; Christopher Nolan's masterpiece?,10/10,"Dom Cobb leads a highly skilled team, specializing in stealing secrets from people's minds by entering their dreams. When they are hired by a mysterious businessman, Cobb finally has a shot at redemption, but not before achieving the near impossible. Rather than stealing an idea, they must do the complete opposite: Inception. Planting the seed of an idea.Inception has a multi-layered plot, quite literally in fact. It focuses on the emotional journey of its lead character, Cobb, but at the same time thrusts the audience into multiple levels of action packed story- telling, very distinct from one another, but all finely connected. It has been described by critics as ""a film that rewards intellect"", and I can assure you that it is exactly that. Director Christopher Nolan challenges the audience to keep up, and rewards those who can with a breathtaking spectacle, one that has the capability to leave you awestruck. The best part about it is that while you may feel you need to watch it again to be able to fully absorb the experience, chances are, you will probably want to.Christopher Nolan brings his unique vision to the screen with the help of a star-studded cast, including the likes of Leonardo Dicaprio (The Departed), Joseph Gordon-Levitt (500 Days Of Summer), Ellen Page (Juno), Marion Cotillard (Public Enemies), Cillian Murphy (Batman Begins), and Michael Caine (The Dark Knight), as well some amazing photography by long time collaborator Wally Pfister. The thrilling music in the film is provided by none other than Hans Zimmer, who was also set the mood for Nolan's previous film, The Dark Knight.While it may seem simple at its outset, Inception is an extremely complex film, delving deep into the subconscious of the human mind. Technical brilliance and visual splendor have rarely blended together as beautifully. The emotional depth and explosive action complement each other perfectly, delivering a film that is at the same time both heart- wrenching and heart-pounding. It's a film that manages to engross you with its complexities, yet comes together seamlessly, and will have you at the edge of your seat, quite literally from start to finish.Inception is magnificent.",https://www.imdb.com/review/rw2279333/?ref_=tturv_perm_12
Inception - A benchmark in all cinema to come.,10/10,"Many of us, not least those who populate the online world with movie reviews, observations and criticisms, are aware of Chris Nolan's raw talent. Memento broke onto the screen a decade ago and provided us with a spectacle in story telling so rare that it dumbfounded us. Since then, Nolan has gained huge popularity with his revival of the Batman franchise, and even more so with the stunning Dark Knight - that still has yet to relinquish its grip on modern day cinema - with the genius of The Prestige sandwiched in between.None of this, however, could have quite prepared us for the spectacle that is INCEPTION. A script that has been worked on for over a decade, Nolan's endeavours are inescapable in its pure complexity and brilliance - quite simply, one of the best film story lines audiences will have encountered in their lifetime. All this is supplemented superbly by the film's ensemble cast - DiCaprio's performance cannot easily be done justice without seeing it. With this and Shutter Island, now must be the time for his first Oscar - he has asserted his place as truly one of the best actors currently working. All reviews will confirm that Joseph Gordon-Levitt, Tom Hardy and Ellen Page back his performance up superbly with well-worked turns. Inception's action sequences play out wonderfully, being - along with the comic relief and back-stories - an integral part of the film's unravelling, whilst we remain rooted to the film's emotional stakes, which give immense purpose to the film's complex and layered narrative.Our protagonist battles with both outer and inner demons in his quest for redemption. The unique concept of entering dreams offers the opportunity not only for a unique species of heist but also a way to dig deeper and deeper into one's subconscious, and the ability to plant an idea which could define that person, or destroy them.In theaters around the world, Nolan uses his dynamic skill to plant an idea in our minds which together allows us to experience the very dream- share the film explores, one which will remain with us long after the film's emotional climax. Inception is a cinema experience so audacious, so incredible, and in the end so gratifying, that it truly is unmissable, and will remain a benchmark for many filmmakers in years to come.10/10.",https://www.imdb.com/review/rw2280465/?ref_=tturv_perm_27
Pure Stimulation For Your Mind,10/10,"I had the honor of seeing a pre-screening of this film tonight in Dallas. Now, I have seen lots of movies in my time, but this movie is by far...excellent. I am simply amazed at Christopher Nolan for blessing us with this film...i truly am.The trailers can only give you so much and I'm so glad they don't go too much in depth with the plot. You are literally drawn into the movie.Acting=10, Cinematography=10, Story/Plot=10, Mind Stimulation=10+ I cannot wait to read more reviews on this film. It was well worth 2+ hours and I am positive that I will be seeing it AGAIN later this week when it opens in theaters.GO SEE IT.",https://www.imdb.com/review/rw2278782/?ref_=tturv_perm_45
